epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.48,0.11732,0.8529,0.89018,0.85943,0.76857,0.87301,0.87144,0.05305,1.53197,1.04307,0.0671684,0.000331633,0.000331633
2,634.476,0.08923,0.78219,0.88549,0.86549,0.84025,0.91174,0.9002,0.08048,0.64879,1.05076,0.0341464,0.000643022,0.000643022
3,952.084,0.08507,0.77292,0.8859,0.88948,0.85077,0.92415,0.92216,0.05031,0.62792,1.04304,0.00110248,0.000932412,0.000932412
4,1269.03,0.08379,0.76405,0.8851,0.8973,0.85573,0.9187,0.91737,0.06043,0.8783,1.04589,0.000901,0.000901,0.000901
5,1586.69,0.08175,0.76123,0.88598,0.87516,0.84985,0.92118,0.91783,0.05884,0.53222,1.04434,0.000868,0.000868,0.000868
6,1905.54,0.08093,0.75383,0.88453,0.89237,0.85337,0.91973,0.9183,0.05646,1.25381,1.04238,0.000835,0.000835,0.000835
7,2223.59,0.08047,0.74521,0.88546,0.86298,0.8217,0.90305,0.88947,0.09876,0.43443,1.05417,0.000802,0.000802,0.000802
8,2541.07,0.07999,0.74019,0.88561,0.90906,0.83845,0.90922,0.90657,0.05296,1.68125,1.04789,0.000769,0.000769,0.000769
9,2991.37,0.07888,0.73385,0.8853,0.89086,0.85461,0.92299,0.92056,0.05771,0.77634,1.04361,0.000736,0.000736,0.000736
10,3342.61,0.07786,0.73436,0.88521,0.85695,0.83968,0.90445,0.89264,0.07994,0.5665,1.05166,0.000703,0.000703,0.000703
11,3661.01,0.07734,0.72505,0.88469,0.88525,0.85698,0.92136,0.91918,0.05101,0.72741,1.04321,0.00067,0.00067,0.00067
12,3979.47,0.07758,0.72034,0.88555,0.75969,0.76568,0.83823,0.79081,0.18345,0.66895,1.09616,0.000637,0.000637,0.000637
13,4297.85,0.07674,0.71891,0.88543,0.8826,0.86373,0.91434,0.91301,0.05763,0.99759,1.04297,0.000604,0.000604,0.000604
14,4616.3,0.07565,0.7144,0.88454,0.88288,0.86514,0.92029,0.91613,0.06695,0.61295,1.04695,0.000571,0.000571,0.000571
15,4934.93,0.07576,0.71179,0.88448,0.79557,0.76642,0.85091,0.81388,0.1624,0.55291,1.08398,0.000538,0.000538,0.000538
16,5254.14,0.07563,0.70367,0.88404,0.89976,0.86063,0.923,0.92084,0.05737,0.86256,1.04394,0.000505,0.000505,0.000505
17,5572.8,0.07422,0.70352,0.88452,0.85974,0.84026,0.90392,0.88981,0.08217,0.54192,1.05335,0.000472,0.000472,0.000472
18,5891.14,0.07447,0.70023,0.88554,0.86691,0.82653,0.89911,0.87521,0.10357,0.53843,1.05947,0.000439,0.000439,0.000439
19,6210.22,0.07355,0.69378,0.88459,0.89649,0.86928,0.92195,0.92036,0.05289,1.41604,1.04267,0.000406,0.000406,0.000406
20,6691.92,0.074,0.69064,0.88418,0.89683,0.85958,0.92286,0.91922,0.06372,0.59386,1.04515,0.000373,0.000373,0.000373
21,6999.38,0.05129,0.27882,0.89914,0.89244,0.87325,0.94718,0.94573,0.04642,0.34686,1.04193,0.00034,0.00034,0.00034
22,7305.42,0.04749,0.23679,0.89759,0.89092,0.88774,0.95009,0.94969,0.04063,0.32456,1.04116,0.000307,0.000307,0.000307
23,7612.04,0.04641,0.22678,0.89749,0.89459,0.88538,0.95193,0.95165,0.04031,0.32194,1.04153,0.000274,0.000274,0.000274
24,7918.22,0.0463,0.22135,0.89669,0.89061,0.89031,0.95146,0.95096,0.0409,0.32004,1.04121,0.000241,0.000241,0.000241
25,8223.87,0.04568,0.21678,0.89902,0.8873,0.894,0.95306,0.95257,0.04209,0.3265,1.04117,0.000208,0.000208,0.000208
26,8530.14,0.04497,0.22256,0.89882,0.87628,0.88917,0.95051,0.95004,0.03712,0.31369,1.04086,0.000175,0.000175,0.000175
27,8836.36,0.04442,0.22994,0.89736,0.87572,0.89072,0.95043,0.95023,0.03883,0.31431,1.04107,0.000142,0.000142,0.000142
28,9142.66,0.04436,0.22553,0.89756,0.89561,0.88508,0.95294,0.95275,0.03819,0.30291,1.04102,0.000109,0.000109,0.000109
29,9449.41,0.04402,0.22179,0.89729,0.89651,0.8809,0.95246,0.95225,0.03804,0.30564,1.04101,7.6e-05,7.6e-05,7.6e-05
30,9965.75,0.04356,0.22237,0.89843,0.89069,0.88576,0.95266,0.95233,0.03709,0.30674,1.04096,4.3e-05,4.3e-05,4.3e-05
